qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,q2
9004,1065,20,117,11,2021,14,14,monza,80913.0
9019,1066,4,214,6,2021,15,71,sochi,105514.0
9033,1066,830,9,20,2021,15,71,sochi,0.0
9014,1066,846,1,1,2021,15,71,sochi,105827.0
9015,1066,832,6,2,2021,15,71,sochi,106521.0
9016,1066,847,3,3,2021,15,71,sochi,106435.0
9017,1066,1,131,4,2021,15,71,sochi,105129.0
9018,1066,817,1,5,2021,15,71,sochi,106361.0
9020,1066,822,131,7,2021,15,71,sochi,105306.0
9021,1066,840,117,8,2021,15,71,sochi,106360.0
9022,1066,815,9,9,2021,15,71,sochi,105834.0
9023,1066,839,214,10,2021,15,71,sochi,106070.0
9024,1066,20,117,11,2021,15,71,sochi,106573.0
9025,1066,842,213,12,2021,15,71,sochi,106641.0
9026,1066,852,213,13,2021,15,71,sochi,106751.0
9027,1066,849,3,14,2021,15,71,sochi,0.0
9028,1066,844,6,15,2021,15,71,sochi,0.0
9029,1066,8,51,16,2021,15,71,sochi,0.0
9030,1066,854,210,17,2021,15,71,sochi,0.0
9031,1066,841,51,18,2021,15,71,sochi,0.0
9032,1066,853,210,19,2021,15,71,sochi,0.0
9036,1067,1,131,1,2021,16,5,istanbul,83082.0
9037,1067,822,131,2,2021,16,5,istanbul,83579.0
9055,1067,853,210,20,2021,16,5,istanbul,0.0
9039,1067,844,6,4,2021,16,5,istanbul,84015.0
9040,1067,842,213,5,2021,16,5,istanbul,83817.0
9041,1067,4,214,6,2021,16,5,istanbul,83914.0
9042,1067,815,9,7,2021,16,5,istanbul,83961.0
9043,1067,846,1,8,2021,16,5,istanbul,84642.0
9044,1067,840,117,9,2021,16,5,istanbul,84601.0
9045,1067,852,213,10,2021,16,5,istanbul,84054.0
9038,1067,830,9,3,2021,16,5,istanbul,83732.0
9046,1067,20,117,11,2021,16,5,istanbul,84795.0
9047,1067,839,214,12,2021,16,5,istanbul,84842.0
9048,1067,847,3,13,2021,16,5,istanbul,85007.0
9049,1067,854,210,14,2021,16,5,istanbul,85200.0
9050,1067,832,6,15,2021,16,5,istanbul,0.0
9051,1067,817,1,16,2021,16,5,istanbul,0.0
9052,1067,849,3,17,2021,16,5,istanbul,0.0
9053,1067,841,51,18,2021,16,5,istanbul,0.0
9054,1067,8,51,19,2021,16,5,istanbul,0.0
9057,1069,1,131,2,2021,17,69,americas,93797.0
9058,1069,815,9,3,2021,17,69,americas,94178.0
9074,1069,854,210,19,2021,17,69,americas,0.0
9059,1069,822,131,4,2021,17,69,americas,93959.0
9060,1069,844,6,5,2021,17,69,americas,93928.0
9061,1069,832,6,6,2021,17,69,americas,94126.0
9062,1069,817,1,7,2021,17,69,americas,94643.0
9063,1069,846,1,8,2021,17,69,americas,93880.0
9064,1069,842,213,9,2021,17,69,americas,94583.0
9065,1069,852,213,10,2021,17,69,americas,95137.0
9066,1069,839,214,11,2021,17,69,americas,95377.0
9067,1069,20,117,12,2021,17,69,americas,95500.0
9068,1069,841,51,13,2021,17,69,americas,95794.0
9069,1069,4,214,14,2021,17,69,americas,104549.0
9070,1069,847,3,15,2021,17,69,americas,0.0
9071,1069,840,117,16,2021,17,69,americas,0.0
9072,1069,849,3,17,2021,17,69,americas,0.0
9073,1069,8,51,18,2021,17,69,americas,0.0
9075,1069,853,210,20,2021,17,69,americas,0.0
9056,1069,830,9,1,2021,17,69,americas,93464.0
9086,1070,20,117,11,2021,18,32,rodriguez,77746.0
9094,1070,853,210,19,2021,18,32,rodriguez,0.0
9077,1070,1,131,2,2021,18,32,rodriguez,76474.0
9078,1070,830,9,3,2021,18,32,rodriguez,76483.0
9079,1070,815,9,4,2021,18,32,rodriguez,77055.0
9080,1070,842,213,5,2021,18,32,rodriguez,76955.0
9081,1070,832,6,6,2021,18,32,rodriguez,77248.0
9082,1070,817,1,7,2021,18,32,rodriguez,77092.0
9083,1070,844,6,8,2021,18,32,rodriguez,77034.0
9095,1070,840,117,20,2021,18,32,rodriguez,0.0
9084,1070,852,213,9,2021,18,32,rodriguez,76701.0
