qualifyid,raceid,driverid,constructorid,position,year,round,circuitid,circuitref,car_condition,driver_condition,previous_year_position,mean_lap_time,driver_time_better_mean,car_time_better_mean,q1
8881.0,1058,852.0,213.0,4.0,2021.0,8.0,6.0,monaco,0.0,0.0,20.0,65003.05,-395.04999999999563,-316.5499999999993,64608.00000000001
8879.0,1058,842.0,213.0,8.0,2021.0,8.0,6.0,monaco,0.0,0.0,20.0,65003.05,-238.0500000000029,-316.5499999999993,64765.0
8880.0,1058,844.0,6.0,7.0,2021.0,8.0,6.0,monaco,0.0,0.0,20.0,65003.05,-258.04999999999563,-201.0500000000029,64745.00000000001
8885.0,1058,832.0,6.0,10.0,2021.0,8.0,6.0,monaco,0.0,0.0,20.0,65003.05,-144.0500000000102,-201.0500000000029,64858.99999999999
8883.0,1058,840.0,117.0,9.0,2021.0,8.0,6.0,monaco,0.0,0.0,20.0,65003.05,-182.0500000000029,-67.05000000000291,64821.0
8887.0,1058,20.0,117.0,13.0,2021.0,8.0,6.0,monaco,0.0,0.0,20.0,65003.05,47.94999999999709,-67.05000000000291,65051.0
8882.0,1058,4.0,214.0,11.0,2021.0,8.0,6.0,monaco,0.0,0.0,20.0,65003.05,-32.05000000000291,90.94999999999709,64971.0
8890.0,1058,839.0,214.0,17.0,2021.0,8.0,6.0,monaco,0.0,0.0,20.0,65003.05,213.9499999999971,90.94999999999709,65217.0
8884.0,1058,847.0,3.0,12.0,2021.0,8.0,6.0,monaco,0.0,0.0,20.0,65003.05,29.94999999999709,100.94999999999709,65033.0
8889.0,1058,849.0,3.0,16.0,2021.0,8.0,6.0,monaco,0.0,0.0,20.0,65003.05,171.9499999999971,100.94999999999709,65175.0
8888.0,1058,841.0,51.0,14.0,2021.0,8.0,6.0,monaco,0.0,0.0,20.0,65003.05,88.94999999999709,257.4499999999971,65092.0
8891.0,1058,8.0,51.0,18.0,2021.0,8.0,6.0,monaco,0.0,0.0,20.0,65003.05,425.9499999999971,257.4499999999971,65429.0
8892.0,1058,854.0,210.0,19.0,2021.0,8.0,6.0,monaco,0.0,0.0,20.0,65003.05,1037.949999999997,1113.449999999997,66041.0
8893.0,1058,853.0,210.0,20.0,2021.0,8.0,6.0,monaco,0.0,0.0,20.0,65003.05,1188.949999999997,1113.449999999997,66192.0
8873.0,1059,852.0,213.0,1.0,2021.0,7.0,6.0,monaco,0.0,0.0,20.0,83034.5,-83034.5,-37085.5,0.0
8859.0,1059,842.0,213.0,8.0,2021.0,7.0,7.0,villeneuve,0.0,0.0,20.0,83034.5,8863.5,-37085.5,91898.0
8872.0,1059,840.0,117.0,2.0,2021.0,7.0,7.0,villeneuve,0.0,0.0,20.0,83034.5,-83034.5,-36968.5,0.0
8865.0,1059,20.0,117.0,10.0,2021.0,7.0,7.0,villeneuve,0.0,0.0,20.0,83034.5,9097.5,-36968.5,92132.0
8854.0,1059,830.0,9.0,3.0,2021.0,7.0,7.0,villeneuve,0.0,0.0,20.0,83034.5,7966.5,8246.0,91001.0
8857.0,1059,815.0,9.0,5.0,2021.0,7.0,7.0,villeneuve,0.0,0.0,20.0,83034.5,8525.5,8246.0,91560.0
8855.0,1059,1.0,131.0,4.0,2021.0,7.0,7.0,villeneuve,0.0,0.0,20.0,83034.5,8202.5,8418.5,91237.0
8856.0,1059,822.0,131.0,6.0,2021.0,7.0,7.0,villeneuve,0.0,0.0,20.0,83034.5,8634.5,8418.5,91669.0
8861.0,1059,846.0,1.0,7.0,2021.0,7.0,7.0,villeneuve,0.0,0.0,20.0,83034.5,8698.5,8922.5,91733.0
8863.0,1059,817.0,1.0,13.0,2021.0,7.0,7.0,villeneuve,0.0,0.0,20.0,83034.5,9146.5,8922.5,92181.0
8858.0,1059,832.0,6.0,9.0,2021.0,7.0,7.0,villeneuve,0.0,0.0,20.0,83034.5,9044.5,9109.5,92079.0
8860.0,1059,844.0,6.0,14.0,2021.0,7.0,7.0,villeneuve,0.0,0.0,20.0,83034.5,9174.5,9109.5,92209.0
8864.0,1059,839.0,214.0,11.0,2021.0,7.0,7.0,villeneuve,0.0,0.0,20.0,83034.5,9104.5,9114.0,92139.0
8862.0,1059,4.0,214.0,12.0,2021.0,7.0,7.0,villeneuve,0.0,0.0,20.0,83034.5,9123.5,9114.0,92158.0
8866.0,1059,841.0,51.0,15.0,2021.0,7.0,7.0,villeneuve,0.0,0.0,20.0,83034.5,9687.5,10003.5,92722.0
8870.0,1059,8.0,51.0,19.0,2021.0,7.0,7.0,villeneuve,0.0,0.0,20.0,83034.5,10319.5,10003.5,93354.0
